Cliente 2: Epoca: 29, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.7766
Cliente 2: Epoca: 30, D_loss: 50.0000, G_loss: 100.0000, Tempo: 12.9802
Cliente 2: Epoca: 31, D_loss: 50.0000, G_loss: 100.0000, Tempo: 11.0277
Cliente 2: Epoca: 32, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.5864
Cliente 2: Epoca: 33, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.2881
Cliente 2: Epoca: 34, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.3893
Cliente 2: Epoca: 35, D_loss: 50.0000, G_loss: 100.0000, Tempo: 13.1686
Cliente 2: Epoca: 36, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.8255
Cliente 2: Epoca: 37, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.5237
Cliente 2: Epoca: 38, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.7766
Cliente 2: Epoca: 39, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.7359
Cliente 2: Epoca: 40, D_loss: 50.0000, G_loss: 100.0000, Tempo: 12.6162
Cliente 2: Epoca: 41, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.7226
Cliente 2: Epoca: 42, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.2907
Cliente 2: Epoca: 43, D_loss: 50.0000, G_loss: 100.0000, Tempo: 11.1098
Cliente 2: Epoca: 44, D_loss: 50.0000, G_loss: 100.0000, Tempo: 11.2306
Cliente 2: Epoca: 45, D_loss: 50.0000, G_loss: 100.0000, Tempo: 13.0141
Cliente 2: Epoca: 46, D_loss: 50.0000, G_loss: 100.0000, Tempo: 11.9358
Cliente 2: Epoca: 47, D_loss: 50.0000, G_loss: 100.0000, Tempo: 11.9164
Cliente 2: Epoca: 48, D_loss: 50.0000, G_loss: 100.0000, Tempo: 11.3059
Cliente 2: Epoca: 49, D_loss: 50.0000, G_loss: 100.0000, Tempo: 11.1108
Cliente 2: Epoca: 50, D_loss: 50.0000, G_loss: 100.0000, Tempo: 12.4370
Cliente 3: Epoca: 1, D_loss: 49.4396, G_loss: 100.0000, Tempo: 7.2595
Cliente 3: Epoca: 2, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.0071
Cliente 3: Epoca: 3, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.8549
Cliente 3: Epoca: 4, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.8924
Cliente 3: Epoca: 5, D_loss: 50.0000, G_loss: 100.0000, Tempo: 8.6805
Cliente 3: Epoca: 6, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.8900
Cliente 3: Epoca: 7, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.8361
Cliente 3: Epoca: 8, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.5769
Cliente 3: Epoca: 9, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.4721
Cliente 3: Epoca: 10, D_loss: 50.0000, G_loss: 100.0000, Tempo: 9.2685
Cliente 3: Epoca: 11, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.8678
Cliente 3: Epoca: 12, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.5034
Cliente 3: Epoca: 13, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.6459
Cliente 3: Epoca: 14, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.6954
Cliente 3: Epoca: 15, D_loss: 50.0000, G_loss: 100.0000, Tempo: 8.6588
Cliente 3: Epoca: 16, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.6172
Cliente 3: Epoca: 17, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.4912
Cliente 3: Epoca: 18, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.5600
Cliente 3: Epoca: 19, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.5158
Cliente 3: Epoca: 20, D_loss: 50.0000, G_loss: 100.0000, Tempo: 8.6515
Cliente 3: Epoca: 21, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.9137
Cliente 3: Epoca: 22, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.7834
Cliente 3: Epoca: 23, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.7459
Cliente 3: Epoca: 24, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.6723
Cliente 3: Epoca: 25, D_loss: 50.0000, G_loss: 100.0000, Tempo: 8.6402
Cliente 3: Epoca: 26, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.8189
Cliente 3: Epoca: 27, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.4806
Cliente 3: Epoca: 28, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.7777
Cliente 3: Epoca: 29, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.8149
Cliente 3: Epoca: 30, D_loss: 50.0000, G_loss: 100.0000, Tempo: 8.8250
Cliente 3: Epoca: 31, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.9794
Cliente 3: Epoca: 32, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.8905
Cliente 3: Epoca: 33, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.3795
Cliente 3: Epoca: 34, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.6166
Cliente 3: Epoca: 35, D_loss: 50.0000, G_loss: 100.0000, Tempo: 8.6754
Cliente 3: Epoca: 36, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.7296
Cliente 3: Epoca: 37, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.7257
Cliente 3: Epoca: 38, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.8770
Cliente 3: Epoca: 39, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.7510
Cliente 3: Epoca: 40, D_loss: 50.0000, G_loss: 100.0000, Tempo: 9.4446
Cliente 3: Epoca: 41, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.6033
Cliente 3: Epoca: 42, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.6907
Cliente 3: Epoca: 43, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.7074
Cliente 3: Epoca: 44, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.6718
Cliente 3: Epoca: 45, D_loss: 50.0000, G_loss: 100.0000, Tempo: 8.7897
Cliente 3: Epoca: 46, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.0389
Cliente 3: Epoca: 47, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.8783
Cliente 3: Epoca: 48, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.7698
Cliente 3: Epoca: 49, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.7536
Cliente 3: Epoca: 50, D_loss: 50.0000, G_loss: 100.0000, Tempo: 8.6936
Cliente 4: Epoca: 1, D_loss: 49.4735, G_loss: 100.0000, Tempo: 7.6812
Cliente 4: Epoca: 2, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.1900
Cliente 4: Epoca: 3, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.2402
Cliente 4: Epoca: 4, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.2627
Cliente 4: Epoca: 5, D_loss: 50.0000, G_loss: 100.0000, Tempo: 9.4680
Cliente 4: Epoca: 6, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.5170
Cliente 4: Epoca: 7, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.2122
Cliente 4: Epoca: 8, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.3328
Cliente 4: Epoca: 9, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.2211
Cliente 4: Epoca: 10, D_loss: 50.0000, G_loss: 100.0000, Tempo: 9.2946
Cliente 4: Epoca: 11, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.5878
Cliente 4: Epoca: 12, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.2365
Cliente 4: Epoca: 13, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.3516
Cliente 4: Epoca: 14, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.5356
Cliente 4: Epoca: 15, D_loss: 50.0000, G_loss: 100.0000, Tempo: 9.4673
Cliente 4: Epoca: 16, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.5752
Cliente 4: Epoca: 17, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.2678
Cliente 4: Epoca: 18, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.3857
Cliente 4: Epoca: 19, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.3629
Cliente 4: Epoca: 20, D_loss: 50.0000, G_loss: 100.0000, Tempo: 9.2781
Cliente 4: Epoca: 21, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.2098
Cliente 4: Epoca: 22, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.0953
Cliente 4: Epoca: 23, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.0718
Cliente 4: Epoca: 24, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.2957
Cliente 4: Epoca: 25, D_loss: 50.0000, G_loss: 100.0000, Tempo: 9.1606
Cliente 4: Epoca: 26, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.3192
Cliente 4: Epoca: 27, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.0687
Cliente 4: Epoca: 28, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.2734
Cliente 4: Epoca: 29, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.2550
Cliente 4: Epoca: 30, D_loss: 50.0000, G_loss: 100.0000, Tempo: 9.9942
Cliente 4: Epoca: 31, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.3217
Cliente 4: Epoca: 32, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.1381
Cliente 4: Epoca: 33, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.1795
Cliente 4: Epoca: 34, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.9665
Cliente 4: Epoca: 35, D_loss: 50.0000, G_loss: 100.0000, Tempo: 9.2799
Cliente 4: Epoca: 36, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.3782
Cliente 4: Epoca: 37, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.0090
Cliente 4: Epoca: 38, D_loss: 50.0000, G_loss: 100.0000, Tempo: 6.9326
Cliente 4: Epoca: 39, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.2953
Cliente 4: Epoca: 40, D_loss: 50.0000, G_loss: 100.0000, Tempo: 9.0752
Cliente 4: Epoca: 41, D_loss: 50.0000, G_loss: 100.0000, Tempo: 8.0460
Cliente 4: Epoca: 42, D_loss: 50.0000, G_loss: 100.0000, Tempo: 8.4030
Cliente 4: Epoca: 43, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.6079
Cliente 4: Epoca: 44, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.3995
Cliente 4: Epoca: 45, D_loss: 50.0000, G_loss: 100.0000, Tempo: 9.6949
Cliente 4: Epoca: 46, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.6285
Cliente 4: Epoca: 47, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.1406
Cliente 4: Epoca: 48, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.1691
Cliente 4: Epoca: 49, D_loss: 50.0000, G_loss: 100.0000, Tempo: 7.2024
Cliente 4: Epoca: 50, D_loss: 50.0000, G_loss: 100.0000, Tempo: 9.0869
